SONY,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-21,50.049999,50.540001,49.490002,49.5,49.5,918200,1
2018-02-22,50,50.25,49.669998,49.849998,49.849998,885700,2
2018-02-23,50.16,50.27,49.619999,50.23,50.23,1437700,3
2018-02-26,50.689999,50.990002,50.529999,50.919998,50.919998,877900,4
2018-02-27,50.799999,50.919998,50.220001,50.27,50.27,859400,5
2018-02-28,50.830002,51,50.439999,50.459999,50.459999,863500,6
2018-03-01,49.799999,49.939999,48.32,48.720001,48.720001,1187500,7
2018-03-02,48.66,49.73,48.439999,49.68,49.68,843200,8
2018-03-05,49.349998,50.720001,49.349998,50.529999,50.529999,1108300,9
2018-03-06,50.169998,50.490002,50.049999,50.16,50.16,1084200,10
2018-03-07,50.299999,51.09,50.25,50.889999,50.889999,1230900,11
2018-03-08,51.169998,51.400002,51.040001,51.279999,51.279999,801500,12
2018-03-09,51.169998,51.439999,50.860001,51.400002,51.400002,1289100,13
2018-03-12,50.02,50.389999,49.919998,50.009998,50.009998,1385300,14
2018-03-13,50.34,50.610001,49.950001,50.07,50.07,1257800,15
2018-03-14,50.959999,51.139999,50.73,50.950001,50.950001,927500,16
2018-03-15,51.310001,51.59,51.119999,51.34,51.34,536900,17
2018-03-16,50.75,50.779999,50.349998,50.639999,50.639999,964000,18
2018-03-19,48.639999,48.669998,47.709999,48.34,48.34,1839100,19
2018-03-20,48.48,48.889999,48.389999,48.830002,48.830002,947900,20
2018-03-21,48.759998,49.189999,48.630001,48.689999,48.689999,623900,21
2018-03-22,48.560001,48.869999,48,48.130001,48.130001,1581600,22
2018-03-23,48.810001,48.889999,47.849998,47.889999,47.889999,915800,23
2018-03-26,48.48,48.68,47.93,48.669998,48.669998,931400,24
2018-03-27,49.200001,49.23,47.549999,47.869999,47.869999,1473100,25
2018-03-28,48.630001,48.93,47.860001,48.080002,48.080002,2809900,26
2018-03-29,48.200001,48.59,47.669998,48.34,48.34,2136900,27
2018-04-02,48.419998,48.549999,47.709999,47.990002,47.990002,2178400,28
2018-04-03,48.5,48.93,48.080002,48.84,48.84,1907000,29
2018-04-04,47.860001,49.029999,47.759998,48.970001,48.970001,907200,30
2018-04-05,49.049999,49.310001,48.919998,49.150002,49.150002,882500,31
2018-04-06,48.77,49.099998,48.23,48.439999,48.439999,892600,32
2018-04-09,48.919998,49.119999,48.57,48.57,48.57,611100,33
2018-04-10,49.73,49.869999,49.439999,49.75,49.75,1050300,34
2018-04-11,49.380001,49.810001,49.110001,49.349998,49.349998,549800,35
2018-04-12,48.959999,49.290001,48.799999,49.139999,49.139999,779100,36
2018-04-13,49.119999,49.139999,48.610001,48.889999,48.889999,699900,37
2018-04-16,49.459999,49.59,49.130001,49.349998,49.349998,682000,38
2018-04-17,49.77,50,49.549999,49.77,49.77,1026200,39
2018-04-18,50.299999,50.610001,50.259998,50.459999,50.459999,1970000,40
2018-04-19,49.880001,49.900002,49.259998,49.73,49.73,1921200,41
2018-04-20,50,50,49.540001,49.759998,49.759998,1341700,42
2018-04-23,49.77,49.77,49.330002,49.41,49.41,929700,43
